fare_id,route_id
puj_traditional_base,LTFRB_PUJ2157
puj_traditional_base,LTFRB_PUJ2158
puj_traditional_base,LTFRB_PUJ2205
puj_traditional_base,LTFRB_PUJ2206
puj_traditional_base,LTFRB_PUJ2207
puj_traditional_base,LTFRB_PUJ2208
puj_traditional_base,LTFRB_PUJ2209
puj_traditional_base,LTFRB_PUJ2210
puj_traditional_base,LTFRB_PUJ2211
puj_traditional_base,LTFRB_PUJ2212
puj_traditional_base,LTFRB_PUJ2213
puj_traditional_base,LTFRB_PUJ2214
puj_traditional_base,LTFRB_PUJ2215
puj_traditional_base,LTFRB_PUJ2217
puj_traditional_base,LTFRB_PUJ2218
puj_traditional_base,LTFRB_PUJ2219
puj_traditional_base,LTFRB_PUJ2220
puj_traditional_base,LTFRB_PUJ2280
puj_traditional_base,LTFRB_PUJ2281
puj_traditional_base,LTFRB_PUJ2307
puj_traditional_base,LTFRB_PUJ2308
puj_traditional_base,LTFRB_PUJ2309
puj_traditional_base,LTFRB_PUJ2310
puj_traditional_base,LTFRB_PUJ2325
puj_traditional_base,LTFRB_PUJ2326
puj_traditional_base,LTFRB_PUJ2327
puj_traditional_base,LTFRB_PUJ2337
puj_traditional_base,LTFRB_PUJ2338
puj_traditional_base,LTFRB_PUJ2355
puj_traditional_base,LTFRB_PUJ2356
puj_traditional_base,LTFRB_PUJ2373
puj_traditional_base,LTFRB_PUJ2403
puj_traditional_base,LTFRB_PUJ2404
puj_traditional_base,LTFRB_PUJ2489
puj_traditional_base,LTFRB_PUJ2492
puj_traditional_base,LTFRB_PUJ2493
puj_traditional_base,LTFRB_PUJ2512
puj_traditional_base,LTFRB_PUJ2513
puj_traditional_base,LTFRB_PUJ2514
puj_traditional_base,LTFRB_PUJ2515
puj_traditional_base,LTFRB_PUJ2516
puj_traditional_base,LTFRB_PUJ2517
puj_traditional_base,LTFRB_PUJ2577
puj_traditional_base,LTFRB_PUJ2578
puj_traditional_base,LTFRB_PUJ2581
puj_traditional_base,LTFRB_PUJ2582
puj_traditional_base,LTFRB_PUJ2583
puj_traditional_base,LTFRB_PUJ2584
puj_traditional_base,LTFRB_PUJ2591
puj_traditional_base,LTFRB_PUJ2592
puj_traditional_base,LTFRB_PUJ2595
puj_traditional_base,LTFRB_PUJ2596
puj_traditional_base,LTFRB_PUJ2597
puj_traditional_base,LTFRB_PUJ2598
